axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
59.75,-59.00000000000003,"2000-01-15T00:00:00",10.0,6.7551164627075195,-5.0023579597473145,12.285143852233887
59.75,-59.00000000000003,"2000-02-15T00:00:00",10.0,6.764491081237793,-4.1317458152771,11.478057861328125
59.75,-59.00000000000003,"2000-03-16T00:00:00",10.0,4.843954086303711,-4.133418560028076,10.855297088623047
59.75,-59.00000000000003,"2000-04-15T00:00:00",10.0,2.5065999031066895,-3.840214490890503,9.574721336364746
59.75,-59.00000000000003,"2000-05-15T00:00:00",10.0,1.3858450651168823,-1.6336628198623657,7.451446056365967
59.75,-59.00000000000003,"2000-06-15T00:00:00",10.0,0.8619688153266907,-0.8995888233184814,6.691120624542236
59.75,-59.00000000000003,"2000-07-15T00:00:00",10.0,0.21578454971313477,-0.23756812512874603,5.549407005310059
59.75,-59.00000000000003,"2000-08-15T00:00:00",10.0,1.6980689764022827,-0.5849297046661377,6.237652778625488
59.75,-59.00000000000003,"2000-09-15T00:00:00",10.0,1.9855746030807495,-1.1942213773727417,7.718307018280029
59.75,-59.00000000000003,"2000-10-15T00:00:00",10.0,2.530423641204834,-2.135892629623413,9.136235237121582
59.75,-59.00000000000003,"2000-11-15T00:00:00",10.0,4.164407253265381,-1.7552701234817505,10.334227561950684
59.75,-59.00000000000003,"2000-12-15T00:00:00",10.0,4.3981757164001465,-3.1400811672210693,11.319375038146973
