axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
36.25,-53.250000000000014,"2000-01-15T00:00:00",10.0,5.889636039733887,1.9953330755233765,11.978387832641602
36.25,-53.250000000000014,"2000-02-15T00:00:00",10.0,4.321613311767578,1.6620670557022095,11.957571983337402
36.25,-53.250000000000014,"2000-03-16T00:00:00",10.0,3.8905324935913086,0.9206874370574951,10.782428741455078
36.25,-53.250000000000014,"2000-04-15T00:00:00",10.0,3.994736433029175,1.543173909187317,9.760995864868164
36.25,-53.250000000000014,"2000-05-15T00:00:00",10.0,2.3542566299438477,1.8080543279647827,8.141393661499023
36.25,-53.250000000000014,"2000-06-15T00:00:00",10.0,2.7782371044158936,2.131215810775757,6.736305236816406
36.25,-53.250000000000014,"2000-07-15T00:00:00",10.0,2.755444049835205,3.987546443939209,6.598657131195068
36.25,-53.250000000000014,"2000-08-15T00:00:00",10.0,2.3704640865325928,2.3595457077026367,6.3346662521362305
36.25,-53.250000000000014,"2000-09-15T00:00:00",10.0,0.09823257476091385,0.4006861746311188,7.670895576477051
36.25,-53.250000000000014,"2000-10-15T00:00:00",10.0,0.5119739770889282,0.35006478428840637,8.993376731872559
36.25,-53.250000000000014,"2000-11-15T00:00:00",10.0,1.8761184215545654,0.5584440231323242,10.403868675231934
36.25,-53.250000000000014,"2000-12-15T00:00:00",10.0,5.415326118469238,0.5082077383995056,11.606943130493164
