axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
61.25,-50.99999999999997,"2000-01-15T00:00:00",10.0,0.4025160074234009,-1.4548894166946411,11.941323280334473
61.25,-50.99999999999997,"2000-02-15T00:00:00",10.0,1.6126781702041626,-2.544638156890869,11.621450424194336
61.25,-50.99999999999997,"2000-03-16T00:00:00",10.0,1.1306679248809814,-2.3384227752685547,10.759634971618652
61.25,-50.99999999999997,"2000-04-15T00:00:00",10.0,-0.5287637114524841,-1.932289481163025,8.71511459350586
61.25,-50.99999999999997,"2000-05-15T00:00:00",10.0,-1.0421193838119507,-0.3669028580188751,7.69206428527832
61.25,-50.99999999999997,"2000-06-15T00:00:00",10.0,-2.4189648628234863,0.9091082215309143,6.861300945281982
61.25,-50.99999999999997,"2000-07-15T00:00:00",10.0,-1.2123454809188843,0.15432225167751312,5.500577926635742
61.25,-50.99999999999997,"2000-08-15T00:00:00",10.0,-1.3459827899932861,0.18605341017246246,7.258002758026123
61.25,-50.99999999999997,"2000-09-15T00:00:00",10.0,-0.7747686505317688,-0.32533201575279236,7.9596662521362305
61.25,-50.99999999999997,"2000-10-15T00:00:00",10.0,0.04222635179758072,-1.5989456176757812,8.807822227478027
61.25,-50.99999999999997,"2000-11-15T00:00:00",10.0,0.2993563413619995,-0.8394027352333069,9.985308647155762
61.25,-50.99999999999997,"2000-12-15T00:00:00",10.0,-0.06337328255176544,-0.5911228656768799,10.2145414352417
