axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
56.5,-52.99999999999997,"2000-01-15T00:00:00",10.0,5.518030166625977,-2.122025966644287,12.241900444030762
56.5,-52.99999999999997,"2000-02-15T00:00:00",10.0,6.238017559051514,-1.6869794130325317,11.965404510498047
56.5,-52.99999999999997,"2000-03-16T00:00:00",10.0,4.09962272644043,-2.443915605545044,11.358418464660645
56.5,-52.99999999999997,"2000-04-15T00:00:00",10.0,1.720849871635437,-1.9854763746261597,9.546730995178223
56.5,-52.99999999999997,"2000-05-15T00:00:00",10.0,1.0599803924560547,-0.6464331150054932,7.9860639572143555
56.5,-52.99999999999997,"2000-06-15T00:00:00",10.0,0.5382081866264343,-0.2083912491798401,7.494194507598877
56.5,-52.99999999999997,"2000-07-15T00:00:00",10.0,0.3322998881340027,0.6275961399078369,6.346536636352539
56.5,-52.99999999999997,"2000-08-15T00:00:00",10.0,2.0595648288726807,0.22590599954128265,7.008993625640869
56.5,-52.99999999999997,"2000-09-15T00:00:00",10.0,2.829619884490967,-0.6007215976715088,8.56029987335205
56.5,-52.99999999999997,"2000-10-15T00:00:00",10.0,2.907785654067993,-1.1490637063980103,9.720450401306152
56.5,-52.99999999999997,"2000-11-15T00:00:00",10.0,4.360439300537109,-1.0669606924057007,10.886946678161621
56.5,-52.99999999999997,"2000-12-15T00:00:00",10.0,3.7417855262756348,-1.295162320137024,11.532845497131348
