axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
32.0,-59.00000000000003,"2000-01-15T00:00:00",10.0,3.189610481262207,1.21796452999115,9.564945220947266
32.0,-59.00000000000003,"2000-02-15T00:00:00",10.0,2.82950758934021,0.7140986919403076,9.458556175231934
32.0,-59.00000000000003,"2000-03-16T00:00:00",10.0,2.3562095165252686,0.2750076949596405,8.938714027404785
32.0,-59.00000000000003,"2000-04-15T00:00:00",10.0,1.7859973907470703,0.6133303046226501,7.892812728881836
32.0,-59.00000000000003,"2000-05-15T00:00:00",10.0,0.7899889349937439,1.5096030235290527,6.6874680519104
32.0,-59.00000000000003,"2000-06-15T00:00:00",10.0,1.07352876663208,1.9040265083312988,5.444746971130371
32.0,-59.00000000000003,"2000-07-15T00:00:00",10.0,0.37365075945854187,3.0144400596618652,5.4404377937316895
32.0,-59.00000000000003,"2000-08-15T00:00:00",10.0,-0.5203961730003357,2.2294046878814697,5.278305530548096
32.0,-59.00000000000003,"2000-09-15T00:00:00",10.0,-1.0298174619674683,0.7912464141845703,6.504076957702637
32.0,-59.00000000000003,"2000-10-15T00:00:00",10.0,-0.8247060179710388,0.27178746461868286,7.753776550292969
32.0,-59.00000000000003,"2000-11-15T00:00:00",10.0,0.364271342754364,-1.5148128271102905,8.853414535522461
32.0,-59.00000000000003,"2000-12-15T00:00:00",10.0,2.8539347648620605,-0.09919419139623642,9.044118881225586
