axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
69.25,-56.75,"2000-01-15T00:00:00",10.0,1.104984998703003,-1.6745493412017822,9.463285446166992
69.25,-56.75,"2000-02-15T00:00:00",10.0,0.3636460304260254,-0.8375384211540222,9.142036437988281
69.25,-56.75,"2000-03-16T00:00:00",10.0,-3.6775457859039307,-0.07031094282865524,8.307011604309082
69.25,-56.75,"2000-04-15T00:00:00",10.0,,,
69.25,-56.75,"2000-05-15T00:00:00",10.0,-2.113459825515747,-1.1609625816345215,6.590999603271484
69.25,-56.75,"2000-06-15T00:00:00",10.0,-1.1670477390289307,0.1662755161523819,4.089081287384033
69.25,-56.75,"2000-07-15T00:00:00",10.0,-0.7636403441429138,0.6139132976531982,4.6163763999938965
69.25,-56.75,"2000-08-15T00:00:00",10.0,-0.8766399621963501,1.1296179294586182,5.424642562866211
69.25,-56.75,"2000-09-15T00:00:00",10.0,-0.955783486366272,0.05692245811223984,6.754579067230225
69.25,-56.75,"2000-10-15T00:00:00",10.0,-0.6773830056190491,-0.2702846825122833,7.577104091644287
69.25,-56.75,"2000-11-15T00:00:00",10.0,-0.272493839263916,-0.7375892400741577,8.55471420288086
69.25,-56.75,"2000-12-15T00:00:00",10.0,-0.2845705449581146,-1.5454636812210083,8.484411239624023
