axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
36.25,-21.0,"2000-01-15T00:00:00",10.0,1.3012276887893677,-0.18776994943618774,8.463127136230469
36.25,-21.0,"2000-02-15T00:00:00",10.0,-1.6262524127960205,-1.0190571546554565,7.735870838165283
36.25,-21.0,"2000-03-16T00:00:00",10.0,0.32490426301956177,-0.9318227171897888,8.50245189666748
36.25,-21.0,"2000-04-15T00:00:00",10.0,0.9734499454498291,-2.1817266941070557,7.651866436004639
36.25,-21.0,"2000-05-15T00:00:00",10.0,0.8870303630828857,-2.4019110202789307,6.710346698760986
36.25,-21.0,"2000-06-15T00:00:00",10.0,0.0308860894292593,-2.230741024017334,5.708706855773926
36.25,-21.0,"2000-07-15T00:00:00",10.0,-1.0194106101989746,-3.6023569107055664,5.527108192443848
36.25,-21.0,"2000-08-15T00:00:00",10.0,-0.5750973224639893,-2.9902193546295166,5.642002582550049
36.25,-21.0,"2000-09-15T00:00:00",10.0,-0.091718889772892,-1.4550118446350098,5.799816608428955
36.25,-21.0,"2000-10-15T00:00:00",10.0,0.9351938366889954,-1.135421633720398,7.847349643707275
36.25,-21.0,"2000-11-15T00:00:00",10.0,-0.4297192394733429,-2.399341583251953,8.458138465881348
36.25,-21.0,"2000-12-15T00:00:00",10.0,1.2472707033157349,0.248857319355011,9.547619819641113
