axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
42.75,-55.25,"2000-01-15T00:00:00",10.0,3.7368757724761963,-1.472535252571106,10.978680610656738
42.75,-55.25,"2000-02-15T00:00:00",10.0,2.556216239929199,-1.3487330675125122,10.493396759033203
42.75,-55.25,"2000-03-16T00:00:00",10.0,1.2998076677322388,-1.713291883468628,9.365535736083984
42.75,-55.25,"2000-04-15T00:00:00",10.0,1.5643024444580078,-0.6434147953987122,8.471660614013672
42.75,-55.25,"2000-05-15T00:00:00",10.0,0.26940301060676575,-0.19982004165649414,6.8181538581848145
42.75,-55.25,"2000-06-15T00:00:00",10.0,1.3599481582641602,0.2230779081583023,6.289312362670898
42.75,-55.25,"2000-07-15T00:00:00",10.0,1.9458693265914917,2.0276551246643066,5.892396450042725
42.75,-55.25,"2000-08-15T00:00:00",10.0,2.379850149154663,1.223487377166748,6.522451877593994
42.75,-55.25,"2000-09-15T00:00:00",10.0,1.831943392753601,-0.3412220776081085,7.965707302093506
42.75,-55.25,"2000-10-15T00:00:00",10.0,1.6323424577713013,-1.0787714719772339,9.246318817138672
42.75,-55.25,"2000-11-15T00:00:00",10.0,1.7357217073440552,-1.301597237586975,9.903311729431152
42.75,-55.25,"2000-12-15T00:00:00",10.0,4.00737190246582,-1.752743124961853,11.041473388671875
