axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
58.25,-53.99999999999997,"2000-01-15T00:00:00",10.0,5.154232025146484,-3.0464720726013184,12.426852226257324
58.25,-53.99999999999997,"2000-02-15T00:00:00",10.0,5.861735820770264,-2.860893487930298,11.679709434509277
58.25,-53.99999999999997,"2000-03-16T00:00:00",10.0,3.9449303150177,-2.9239134788513184,11.26071548461914
58.25,-53.99999999999997,"2000-04-15T00:00:00",10.0,1.3411636352539062,-2.813300848007202,9.515610694885254
58.25,-53.99999999999997,"2000-05-15T00:00:00",10.0,0.7307677865028381,-0.8634929060935974,7.820532321929932
58.25,-53.99999999999997,"2000-06-15T00:00:00",10.0,-0.06045536696910858,-0.28911611437797546,7.449801921844482
58.25,-53.99999999999997,"2000-07-15T00:00:00",10.0,-0.03070123866200447,0.13077110052108765,6.2874836921691895
58.25,-53.99999999999997,"2000-08-15T00:00:00",10.0,1.5182548761367798,-0.3488118648529053,7.031723499298096
58.25,-53.99999999999997,"2000-09-15T00:00:00",10.0,2.1476247310638428,-1.0729016065597534,8.452592849731445
58.25,-53.99999999999997,"2000-10-15T00:00:00",10.0,2.4560654163360596,-1.624634861946106,9.468175888061523
58.25,-53.99999999999997,"2000-11-15T00:00:00",10.0,4.077938556671143,-1.4177498817443848,10.43613052368164
58.25,-53.99999999999997,"2000-12-15T00:00:00",10.0,3.150832414627075,-1.9166680574417114,11.382905960083008
