axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
24.25,-18.00000000000003,"2000-01-15T00:00:00",10.0,-4.4542694091796875,-3.8275411128997803,7.560478687286377
24.25,-18.00000000000003,"2000-02-15T00:00:00",10.0,-4.39488410949707,-4.439668655395508,7.734449863433838
24.25,-18.00000000000003,"2000-03-16T00:00:00",10.0,-2.0722830295562744,-4.5973358154296875,6.875274658203125
24.25,-18.00000000000003,"2000-04-15T00:00:00",10.0,-2.341963768005371,-6.324822902679443,7.533848285675049
24.25,-18.00000000000003,"2000-05-15T00:00:00",10.0,-2.4854862689971924,-6.404719829559326,7.251119613647461
24.25,-18.00000000000003,"2000-06-15T00:00:00",10.0,-2.7179927825927734,-6.807109355926514,7.523185729980469
24.25,-18.00000000000003,"2000-07-15T00:00:00",10.0,-2.8772332668304443,-6.898548603057861,7.6083598136901855
24.25,-18.00000000000003,"2000-08-15T00:00:00",10.0,-3.068215847015381,-6.5055952072143555,7.341475009918213
24.25,-18.00000000000003,"2000-09-15T00:00:00",10.0,-3.599684238433838,-6.013827800750732,7.222164630889893
24.25,-18.00000000000003,"2000-10-15T00:00:00",10.0,-2.9466187953948975,-4.781586170196533,6.286546230316162
24.25,-18.00000000000003,"2000-11-15T00:00:00",10.0,-4.047152996063232,-4.111676216125488,6.773577690124512
24.25,-18.00000000000003,"2000-12-15T00:00:00",10.0,-3.4317667484283447,-2.782801866531372,6.392738342285156
